"Date","Price","Open","High","Low","Vol.","Change %"
"24-08-2011","3,802.43","3,802.43","3,802.43","3,802.43","","-1.35%"
"23-08-2011","3,854.61","3,854.61","3,854.61","3,854.61","","0.75%"
"22-08-2011","3,825.87","3,825.87","3,825.87","3,825.87","","0.42%"
"19-08-2011","3,810.03","3,810.03","3,810.03","3,810.03","","-1.59%"
"18-08-2011","3,871.78","3,871.78","3,871.78","3,871.78","","-3.48%"
"17-08-2011","4,011.20","4,011.20","4,011.20","4,011.20","","-0.30%"
"16-08-2011","4,023.12","4,023.12","4,023.12","4,023.12","","-1.73%"
"12-08-2011","4,093.80","4,093.80","4,093.80","4,093.80","","-1.72%"
"11-08-2011","4,165.35","4,165.35","4,165.35","4,165.35","","-0.41%"
"10-08-2011","4,182.56","4,182.56","4,182.56","4,182.56","","2.48%"
"09-08-2011","4,081.39","4,081.39","4,081.39","4,081.39","","0.11%"
"08-08-2011","4,076.85","4,076.85","4,076.85","4,076.85","","-1.59%"
"05-08-2011","4,142.74","4,142.74","4,142.74","4,142.74","","-1.78%"
"04-08-2011","4,217.67","4,217.67","4,217.67","4,217.67","","-0.93%"
"03-08-2011","4,257.44","4,257.44","4,257.44","4,257.44","","-0.98%"
"02-08-2011","4,299.49","4,299.49","4,299.49","4,299.49","","-1.75%"
"01-08-2011","4,375.94","4,375.94","4,375.94","4,375.94","","0.57%"
"29-07-2011","4,350.98","4,350.98","4,350.98","4,350.98","","0.37%"
"28-07-2011","4,334.78","4,334.78","4,334.78","4,334.78","","-1.74%"
"27-07-2011","4,411.59","4,411.59","4,411.59","4,411.59","","-0.56%"
"26-07-2011","4,436.43","4,436.43","4,436.43","4,436.43","","-2.55%"
"25-07-2011","4,552.42","4,552.42","4,552.42","4,552.42","","0.79%"
"22-07-2011","4,516.73","4,516.73","4,516.73","4,516.73","","2.00%"
"21-07-2011","4,428.14","4,428.14","4,428.14","4,428.14","","-0.88%"
"20-07-2011","4,467.44","4,467.44","4,467.44","4,467.44","","-1.30%"
"19-07-2011","4,526.40","4,526.40","4,526.40","4,526.40","","0.62%"
"18-07-2011","4,498.55","4,498.55","4,498.55","4,498.55","","0.24%"
"15-07-2011","4,487.72","4,487.72","4,487.72","4,487.72","","-0.40%"
"14-07-2011","4,505.66","4,505.66","4,505.66","4,505.66","","1.36%"
"13-07-2011","4,445.22","4,445.22","4,445.22","4,445.22","","1.26%"
"12-07-2011","4,389.84","4,389.84","4,389.84","4,389.84","","-1.39%"
"11-07-2011","4,451.88","4,451.88","4,451.88","4,451.88","","-1.15%"
"08-07-2011","4,503.54","4,503.54","4,503.54","4,503.54","","-1.43%"
"07-07-2011","4,568.83","4,568.83","4,568.83","4,568.83","","1.38%"
"06-07-2011","4,506.52","4,506.52","4,506.52","4,506.52","","-0.54%"
"05-07-2011","4,530.93","4,530.93","4,530.93","4,530.93","","0.14%"
"04-07-2011","4,524.65","4,524.65","4,524.65","4,524.65","","0.90%"
"01-07-2011","4,484.46","4,484.46","4,484.46","4,484.46","","0.23%"
"30-06-2011","4,474.28","4,474.28","4,474.28","4,474.28","","0.98%"
"29-06-2011","4,430.83","4,430.83","4,430.83","4,430.83","","1.25%"
"28-06-2011","4,376.32","4,376.32","4,376.32","4,376.32","","0.57%"
"27-06-2011","4,351.43","4,351.43","4,351.43","4,351.43","","1.56%"
"24-06-2011","4,284.60","4,284.60","4,284.60","4,284.60","","3.39%"
"23-06-2011","4,144.04","4,144.04","4,144.04","4,144.04","","0.31%"
"22-06-2011","4,131.08","4,131.08","4,131.08","4,131.08","","0.18%"
"21-06-2011","4,123.65","4,123.65","4,123.65","4,123.65","","0.19%"
"20-06-2011","4,115.86","4,115.86","4,115.86","4,115.86","","-1.33%"
"17-06-2011","4,171.17","4,171.17","4,171.17","4,171.17","","-0.17%"
"16-06-2011","4,178.23","4,178.23","4,178.23","4,178.23","","-0.59%"
"15-06-2011","4,202.82","4,202.82","4,202.82","4,202.82","","-1.42%"
"14-06-2011","4,263.51","4,263.51","4,263.51","4,263.51","","0.48%"
"13-06-2011","4,243.29","4,243.29","4,243.29","4,243.29","","0.14%"
"10-06-2011","4,237.51","4,237.51","4,237.51","4,237.51","","-0.60%"
"09-06-2011","4,263.10","4,263.10","4,263.10","4,263.10","","-0.35%"
"08-06-2011","4,278.07","4,278.07","4,278.07","4,278.07","","-0.99%"
"07-06-2011","4,320.73","4,320.73","4,320.73","4,320.73","","-0.01%"
"06-06-2011","4,321.04","4,321.04","4,321.04","4,321.04","","0.83%"
"03-06-2011","4,285.35","4,285.35","4,285.35","4,285.35","","-0.98%"
"02-06-2011","4,327.64","4,327.64","4,327.64","4,327.64","","-1.62%"
"01-06-2011","4,399.04","4,399.04","4,399.04","4,399.04","","0.32%"
"31-05-2011","4,385.05","4,385.05","4,385.05","4,385.05","","2.15%"
"30-05-2011","4,292.78","4,292.78","4,292.78","4,292.78","","0.92%"
"27-05-2011","4,253.78","4,253.78","4,253.78","4,253.78","","2.48%"
"26-05-2011","4,150.94","4,150.94","4,150.94","4,150.94","","0.87%"
"25-05-2011","4,115.16","4,115.16","4,115.16","4,115.16","","-0.99%"
"24-05-2011","4,156.42","4,156.42","4,156.42","4,156.42","","0.42%"
"23-05-2011","4,139.03","4,139.03","4,139.03","4,139.03","","-2.47%"
"20-05-2011","4,244.00","4,244.00","4,244.00","4,244.00","","1.45%"
"19-05-2011","4,183.39","4,183.39","4,183.39","4,183.39","","-0.33%"
"18-05-2011","4,197.39","4,197.39","4,197.39","4,197.39","","0.01%"
"17-05-2011","4,196.84","4,196.84","4,196.84","4,196.84","","-1.70%"
"16-05-2011","4,269.26","4,269.26","4,269.26","4,269.26","","-1.30%"
"13-05-2011","4,325.44","4,325.44","4,325.44","4,325.44","","1.02%"
"12-05-2011","4,281.86","4,281.86","4,281.86","4,281.86","","-1.83%"
"11-05-2011","4,361.85","4,361.85","4,361.85","4,361.85","","0.51%"
"10-05-2011","4,339.58","4,339.58","4,339.58","4,339.58","","-0.54%"
"09-05-2011","4,363.22","4,363.22","4,363.22","4,363.22","","-0.57%"
"06-05-2011","4,388.10","4,388.10","4,388.10","4,388.10","","3.22%"
"05-05-2011","4,251.14","4,251.14","4,251.14","4,251.14","","-1.77%"
"04-05-2011","4,327.88","4,327.88","4,327.88","4,327.88","","-0.58%"
"03-05-2011","4,353.20","4,353.20","4,353.20","4,353.20","","-2.87%"
"02-05-2011","4,481.80","4,481.80","4,481.80","4,481.80","","-1.77%"
"29-04-2011","4,562.54","4,562.54","4,562.54","4,562.54","","-1.46%"
"28-04-2011","4,630.32","4,630.32","4,630.32","4,630.32","","-0.65%"
"27-04-2011","4,660.56","4,660.56","4,660.56","4,660.56","","-0.67%"
"26-04-2011","4,691.96","4,691.96","4,691.96","4,691.96","","-0.30%"
"25-04-2011","4,705.86","4,705.86","4,705.86","4,705.86","","-0.36%"
